id,serial,date,time,p1,p2,p3,pf1,pf2,pf3,v1,v2,v3,i1,i2,i3,kwh
6,8500,2019-02-26,20:03:57,6.014,5.426,3.048,0.982,1,0.875,133.5,132.7,131.1,45.81,40.69,26.49,3182
7,8500,2019-02-26,20:05:07,5.94,5.514,3.02,0.982,1,0.876,132.5,133.6,131,45.62,41.04,26.34,3182
8,8500,2019-02-26,20:06:18,5.951,5.519,3.009,0.982,1,0.875,132.8,133.8,130.8,45.61,41.03,26.27,3182
9,8500,2019-02-26,20:07:28,6.147,5.52,3,0.982,1,0.876,132.4,133.5,130,46.82,41.12,26.41,3182
10,8500,2019-02-26,20:08:38,6.097,5.501,3.034,0.989,1,0.875,132.2,133.4,131,46.54,41.02,26.43,3183
11,8500,2019-02-26,20:13:41,5.937,5.519,3.011,0.982,1,0.876,132.6,134,130.9,45.58,40.96,26.25,3184
12,8500,2019-02-26,20:26:36,5.956,5.457,3.055,0.982,1,0.876,133,133.3,131.5,45.57,40.74,26.44,3187
13,8500,2019-02-26,20:27:47,5.952,5.524,3.011,0.982,1,0.876,132.7,134,130.9,45.64,41,26.28,3187
14,8500,2019-02-26,20:28:57,5.95,5.521,3.007,0.982,1,0.875,132.6,133.8,130.8,45.64,41.03,26.28,3188
15,8500,2019-02-26,20:38:52,6.049,5.472,3.015,0.982,1,0.876,133.7,133.8,130.6,45.96,40.68,26.36,3190
16,8500,2019-02-26,20:44:02,6.138,5.457,3.06,0.986,1,0.876,133,133.7,132,46.56,40.6,26.37,3191
17,8500,2019-02-26,20:49:13,5.969,5.43,3.055,0.982,1,0.876,132.6,133,131.1,45.77,40.63,26.52,3193
18,8500,2019-02-26,20:54:23,6.006,5.503,2.995,0.982,1,0.875,133,133.5,130.3,45.91,41.01,26.3,3194
19,8500,2019-02-26,20:59:34,5.993,5.422,3.055,0.982,1,0.875,132.9,132.9,131.1,45.85,40.59,26.53,3195
20,8500,2019-02-26,21:04:44,6.038,5.466,3.013,0.982,1,0.875,133.7,133.5,130.7,45.89,40.74,26.34,3197
21,8500,2019-02-26,21:09:55,5.987,5.435,3.061,0.991,1,0.875,133.2,133.4,132,45.7,40.54,26.39,3198
22,8500,2019-02-26,21:15:05,5.974,5.432,3.056,0.983,1,0.875,132.8,132.7,131.3,45.74,40.73,26.49,3199
23,8500,2019-02-26,21:20:16,6.18,5.535,3.045,0.99,1,0.875,133,132.8,130.8,46.87,41.38,26.56,3200
24,8500,2019-02-26,21:25:26,5.939,5.625,3.006,0.983,1,0.875,132,133.4,130.5,45.78,41.85,26.36,3202
25,8500,2019-02-26,21:30:36,6.149,5.627,3.001,0.99,1,0.875,132.3,133.6,129.7,46.89,41.79,26.48,3203
26,8500,2019-02-26,21:35:47,5.979,5.525,3.059,0.983,1,0.875,132.4,132.5,131.1,45.91,41.4,26.55,3204
27,8500,2019-02-26,21:40:57,6.169,5.605,3.006,0.983,1,0.875,132.4,133.4,130.3,47.01,41.72,26.38,3205
28,8500,2019-02-26,21:46:08,6.036,5.431,3.033,0.983,1,0.875,133.1,133,130.8,46.08,40.61,26.48,3206
29,8500,2019-02-26,21:51:18,5.988,5.488,2.996,0.983,1,0.875,132.2,133.6,130,46.05,40.88,26.39,3208
30,8500,2019-02-26,21:56:29,6.018,5.469,3.001,0.988,1,0.875,132.8,133.4,130.3,46.06,40.77,26.34,3209
31,8500,2019-02-26,22:01:39,5.952,5.502,2.991,0.983,1,0.875,131.9,133.9,130.6,45.89,40.86,26.22,3210
32,8500,2019-02-26,22:06:50,6.186,5.424,3.022,0.99,1,0.875,132.8,133.1,130.7,46.96,40.54,26.4,3212
33,8500,2019-02-26,22:12:00,6.003,5.459,2.998,0.982,1,0.875,132.2,133,129.9,46.17,40.85,26.41,3213
34,8500,2019-02-26,22:17:10,6.148,5.468,2.991,0.99,1,0.874,131.8,133.3,130.1,47.05,40.83,26.34,3214
35,8500,2019-02-26,22:22:21,5.919,5.409,3.04,0.982,1,0.874,131.6,132.5,131.4,45.76,40.62,26.39,3215
36,8500,2019-02-26,22:27:31,6.158,5.465,2.99,0.982,1,0.874,132.3,132.8,130,46.96,40.94,26.35,3217
37,8500,2019-02-26,22:32:42,6.001,5.402,3.036,0.982,1,0.874,132.7,132.3,130.6,46,40.66,26.53,3218
38,8500,2019-02-26,22:37:52,5.926,5.498,3.014,0.982,1,0.874,132,133.5,131.9,45.69,40.95,26.14,3219
39,8500,2019-02-26,22:43:03,5.926,5.484,3.032,0.99,1,0.874,132.1,133.6,132.7,45.65,40.84,26.11,3220
