id,tag,node,sequence,date,time,rssi,location
5,EB03,0014,11,2019-03-13,10:50:57,-50,F1
6,EB03,0007,11,2019-03-13,10:50:57,-57,F1
7,EB03,0005,11,2019-03-13,10:50:57,-94,F1
8,EB03,0004,11,2019-03-13,10:50:57,-96,F1
9,EB03,0006,11,2019-03-13,10:50:57,-84,F1
13,EB03,0014,12,2019-03-13,10:50:58,-49,F1
14,EB03,0007,12,2019-03-13,10:50:58,-64,F1
16,EB03,0005,12,2019-03-13,10:50:58,-77,F1
17,EB03,0006,12,2019-03-13,10:50:58,-84,F1
18,EB03,0004,12,2019-03-13,10:50:58,-97,F1
23,EB03,0014,13,2019-03-13,10:50:59,-49,F1
24,EB03,0005,13,2019-03-13,10:50:59,-84,F1
25,EB03,0007,13,2019-03-13,10:50:59,-56,F1
27,EB03,0006,13,2019-03-13,10:50:59,-83,F1
33,EB03,0014,14,2019-03-13,10:51:00,-48,F1
34,EB03,0007,14,2019-03-13,10:51:00,-65,F1
38,EB03,0006,14,2019-03-13,10:51:00,-82,F1
39,EB03,0004,14,2019-03-13,10:51:00,-96,F1
89,EB03,0014,1,2019-03-13,10:51:06,-49,F1
90,EB03,0007,1,2019-03-13,10:51:06,-55,F1
91,EB03,0004,1,2019-03-13,10:51:06,-96,F1
96,EB03,0014,2,2019-03-13,10:51:07,-47,F1
97,EB03,0007,2,2019-03-13,10:51:07,-72,F1
98,EB03,0005,2,2019-03-13,10:51:07,-82,F1
105,EB03,0014,3,2019-03-13,10:51:08,-51,F1
106,EB03,0007,3,2019-03-13,10:51:08,-57,F1
114,EB03,0014,4,2019-03-13,10:51:09,-40,F1
115,EB03,0007,4,2019-03-13,10:51:09,-42,F1
116,EB03,0006,4,2019-03-13,10:51:09,-83,F1
117,EB03,0004,4,2019-03-13,10:51:09,-97,F1
128,EB03,0014,5,2019-03-13,10:51:10,-40,F1
129,EB03,0007,5,2019-03-13,10:51:10,-43,F1
130,EB03,0005,5,2019-03-13,10:51:10,-81,F1
131,EB03,0006,5,2019-03-13,10:51:10,-84,F1
132,EB03,0004,5,2019-03-13,10:51:10,-93,F1
133,EB03,0010,5,2019-03-13,10:51:10,-100,F1
142,EB03,0014,6,2019-03-13,10:51:11,-39,F1
143,EB03,0007,6,2019-03-13,10:51:11,-45,F1
144,EB03,0006,6,2019-03-13,10:51:11,-91,F1
145,EB03,0004,6,2019-03-13,10:51:11,-94,F1
146,EB03,0010,6,2019-03-13,10:51:11,-101,F1
157,EB03,0014,7,2019-03-13,10:51:12,-43,F1
158,EB03,0007,7,2019-03-13,10:51:12,-51,F1
159,EB03,0005,7,2019-03-13,10:51:12,-73,F1
160,EB03,0006,7,2019-03-13,10:51:12,-93,F1
161,EB03,0004,7,2019-03-13,10:51:12,-93,F1
162,EB03,0010,7,2019-03-13,10:51:12,-102,F1
172,EB03,0014,8,2019-03-13,10:51:13,-44,F1
173,EB03,0007,8,2019-03-13,10:51:13,-54,F1
174,EB03,0005,8,2019-03-13,10:51:13,-69,F1
175,EB03,0006,8,2019-03-13,10:51:13,-81,F1
176,EB03,0004,8,2019-03-13,10:51:13,-97,F1
187,EB03,0014,9,2019-03-13,10:51:14,-42,F1
188,EB03,0005,9,2019-03-13,10:51:14,-72,F1
189,EB03,0007,9,2019-03-13,10:51:14,-59,F1
190,EB03,0006,9,2019-03-13,10:51:14,-84,F1
201,EB03,0005,10,2019-03-13,10:51:15,-75,F1
202,EB03,0014,10,2019-03-13,10:51:15,-46,F1
203,EB03,0007,10,2019-03-13,10:51:15,-61,F1
204,EB03,0006,10,2019-03-13,10:51:15,-80,F1
215,EB03,0007,11,2019-03-13,10:51:16,-67,F1
216,EB03,0014,11,2019-03-13,10:51:16,-53,F1
217,EB03,0010,11,2019-03-13,10:51:16,-100,F1
228,EB03,0007,12,2019-03-13,10:51:17,-61,F1
229,EB03,0014,12,2019-03-13,10:51:17,-52,F1
230,EB03,0005,12,2019-03-13,10:51:17,-79,F1
231,EB03,0006,12,2019-03-13,10:51:17,-84,F1
232,EB03,0010,12,2019-03-13,10:51:17,-100,F1
244,EB03,0014,13,2019-03-13,10:51:18,-46,F1
245,EB03,0007,13,2019-03-13,10:51:18,-53,F1
246,EB03,0005,13,2019-03-13,10:51:18,-72,F1
247,EB03,0004,13,2019-03-13,10:51:18,-98,F1
248,EB03,0006,13,2019-03-13,10:51:18,-81,F1
249,EB03,0010,13,2019-03-13,10:51:18,-100,F1
259,EB03,0014,14,2019-03-13,10:51:19,-54,F1
260,EB03,0005,14,2019-03-13,10:51:19,-75,F1
261,EB03,0006,14,2019-03-13,10:51:19,-82,F1
262,EB03,0007,14,2019-03-13,10:51:19,-56,F1
272,EB03,0014,15,2019-03-13,10:51:20,-43,F1
273,EB03,0005,15,2019-03-13,10:51:20,-75,F1
274,EB03,0007,15,2019-03-13,10:51:20,-57,F1
275,EB03,0006,15,2019-03-13,10:51:20,-81,F1
276,EB03,0004,15,2019-03-13,10:51:20,-100,F1
277,EB03,0010,15,2019-03-13,10:51:20,-102,F1
289,EB03,0005,16,2019-03-13,10:51:21,-76,F1
290,EB03,0014,16,2019-03-13,10:51:21,-45,F1
291,EB03,0007,16,2019-03-13,10:51:21,-52,F1
292,EB03,0006,16,2019-03-13,10:51:21,-80,F1
293,EB03,0010,16,2019-03-13,10:51:21,-101,F1
304,EB03,0014,17,2019-03-13,10:51:22,-72,F1
305,EB03,0005,17,2019-03-13,10:51:22,-76,F1
306,EB03,0007,17,2019-03-13,10:51:22,-55,F1
307,EB03,0006,17,2019-03-13,10:51:22,-79,F1
308,EB03,0004,17,2019-03-13,10:51:22,-100,F1
309,EB03,0010,17,2019-03-13,10:51:22,-101,F1
320,EB03,0005,18,2019-03-13,10:51:23,-81,F1
321,EB03,0014,18,2019-03-13,10:51:23,-50,F1
322,EB03,0007,18,2019-03-13,10:51:23,-68,F1
323,EB03,0006,18,2019-03-13,10:51:23,-81,F1
334,EB03,0005,19,2019-03-13,10:51:24,-79,F1
335,EB03,0014,19,2019-03-13,10:51:24,-50,F1
336,EB03,0007,19,2019-03-13,10:51:24,-58,F1
337,EB03,0006,19,2019-03-13,10:51:24,-81,F1
338,EB03,0010,19,2019-03-13,10:51:24,-103,F1
348,EB03,0007,20,2019-03-13,10:51:25,-54,F1
349,EB03,0014,20,2019-03-13,10:51:25,-49,F1
350,EB03,0005,20,2019-03-13,10:51:25,-75,F1
44967,EB03,0014,5,2019-03-13,11:50:00,-41,F1
44968,EB03,0007,5,2019-03-13,11:50:00,-49,F1
44969,EB03,0006,5,2019-03-13,11:50:00,-78,F1
44970,EB03,0005,5,2019-03-13,11:50:00,-67,F1
44971,EB03,0004,5,2019-03-13,11:50:00,-80,F1
44972,EB03,0010,5,2019-03-13,11:50:00,-101,F1
44978,EB03,0014,6,2019-03-13,11:50:01,-42,F1
44979,EB03,0007,6,2019-03-13,11:50:01,-54,F1
44980,EB03,0005,6,2019-03-13,11:50:01,-69,F1
44981,EB03,0006,6,2019-03-13,11:50:01,-86,F1
44982,EB03,0004,6,2019-03-13,11:50:01,-79,F1
44983,EB03,0010,6,2019-03-13,11:50:01,-97,F1
44993,EB03,0014,7,2019-03-13,11:50:02,-43,F1
44994,EB03,0007,7,2019-03-13,11:50:02,-55,F1
44995,EB03,0005,7,2019-03-13,11:50:02,-67,F1
44996,EB03,0006,7,2019-03-13,11:50:02,-81,F1
44997,EB03,0004,7,2019-03-13,11:50:02,-79,F1
44998,EB03,0010,7,2019-03-13,11:50:02,-98,F1
45007,EB03,0014,8,2019-03-13,11:50:03,-41,F1
45008,EB03,0007,8,2019-03-13,11:50:03,-49,F1
45009,EB03,0005,8,2019-03-13,11:50:03,-68,F1
45010,EB03,0006,8,2019-03-13,11:50:03,-84,F1
45011,EB03,0004,8,2019-03-13,11:50:03,-81,F1
45016,EB03,0014,9,2019-03-13,11:50:04,-46,F1
45017,EB03,0005,9,2019-03-13,11:50:04,-66,F1
45018,EB03,0006,9,2019-03-13,11:50:04,-81,F1
45019,EB03,0007,9,2019-03-13,11:50:04,-46,F1
45020,EB03,0004,9,2019-03-13,11:50:04,-79,F1
45024,EB03,0010,9,2019-03-13,11:50:04,-98,F1
45031,EB03,0014,10,2019-03-13,11:50:05,-40,F1
45032,EB03,0007,10,2019-03-13,11:50:05,-50,F1
45033,EB03,0005,10,2019-03-13,11:50:05,-62,F1
45034,EB03,0006,10,2019-03-13,11:50:05,-83,F1
45037,EB03,0004,10,2019-03-13,11:50:05,-82,F1
45045,EB03,0014,11,2019-03-13,11:50:06,-50,F1
45046,EB03,0007,11,2019-03-13,11:50:06,-52,F1
45047,EB03,0005,11,2019-03-13,11:50:06,-69,F1
45049,EB03,0004,11,2019-03-13,11:50:06,-80,F1
45053,EB03,0010,11,2019-03-13,11:50:06,-99,F1
45057,EB03,0014,12,2019-03-13,11:50:07,-43,F1
45058,EB03,0007,12,2019-03-13,11:50:07,-48,F1
45059,EB03,0005,12,2019-03-13,11:50:07,-67,F1
45060,EB03,0006,12,2019-03-13,11:50:07,-83,F1
45061,EB03,0004,12,2019-03-13,11:50:07,-79,F1
45068,EB03,0014,13,2019-03-13,11:50:08,-43,F1
45069,EB03,0007,13,2019-03-13,11:50:08,-54,F1
45070,EB03,0006,13,2019-03-13,11:50:08,-79,F1
45071,EB03,0005,13,2019-03-13,11:50:08,-61,F1
45072,EB03,0004,13,2019-03-13,11:50:08,-81,F1
45074,EB03,0010,13,2019-03-13,11:50:08,-98,F1
45079,EB03,0014,14,2019-03-13,11:50:09,-41,F1
45080,EB03,0005,14,2019-03-13,11:50:09,-66,F1
45081,EB03,0006,14,2019-03-13,11:50:09,-79,F1
45082,EB03,0004,14,2019-03-13,11:50:09,-79,F1
