"ini_monit","mac_local","mac_destino","rssi","lqi","latencia","desconexion","tiempo"
2019-02-25 11:21:21,"0010","0004",-55,97,0.0940456390380859,0,1551093681
2019-02-25 11:21:21,"0010","0005",-97,108,0.0940456390380859,0,1551093681
2019-02-25 11:21:21,"0010","0006",-93,108,0.0940456390380859,0,1551093681
2019-02-25 11:21:21,"0010","0002",-101,97,0.0940456390380859,0,1551093681
2019-02-25 11:21:22,"0010","0004",-55,97,0.103019952774048,0,1551093682
2019-02-25 11:21:22,"0010","0005",-97,108,0.103019952774048,0,1551093682
2019-02-25 11:21:22,"0010","0006",-93,108,0.103019952774048,0,1551093682
2019-02-25 11:21:22,"0010","0002",-101,97,0.103019952774048,0,1551093682
2019-02-25 11:21:24,"0010","0004",-55,97,0.098038911819458,0,1551093684
2019-02-25 11:26:54,"0010","0004",-54,99,0.0940184593200684,0,1551094014
2019-02-25 11:26:54,"0010","0005",-96,99,0.0940184593200684,0,1551094014
2019-02-25 11:26:54,"0010","0006",-93,99,0.0940184593200684,0,1551094014
2019-02-25 11:26:54,"0010","0002",-100,99,0.0940184593200684,0,1551094014
2019-02-25 11:26:55,"0010","0004",-54,99,0.102054357528687,0,1551094015
2019-02-25 11:26:55,"0010","0005",-96,99,0.102054357528687,0,1551094015
2019-02-25 11:26:55,"0010","0006",-93,99,0.102054357528687,0,1551094015
2019-02-25 11:26:55,"0010","0002",-100,99,0.102054357528687,0,1551094015
2019-02-25 11:26:57,"0010","0004",-54,99,0.0980606079101562,0,1551094017
2019-02-25 11:26:57,"0010","0005",-96,99,0.0980606079101562,0,1551094017
2019-02-25 11:26:57,"0010","0006",-93,99,0.0980606079101562,0,1551094017
2019-02-25 11:26:57,"0010","0002",-100,99,0.0980606079101562,0,1551094017
2019-02-25 11:26:59,"0010","0004",-54,99,0.0989975929260254,0,1551094019
2019-02-25 11:26:59,"0010","0005",-96,99,0.0989975929260254,0,1551094019
2019-02-25 11:26:59,"0010","0006",-93,99,0.0989975929260254,0,1551094019
2019-02-25 11:26:59,"0010","0002",-100,99,0.0989975929260254,0,1551094019
2019-02-25 11:27:01,"0010","0004",-54,99,0.107980728149414,0,1551094021
2019-02-25 11:27:01,"0010","0005",-96,99,0.107980728149414,0,1551094021
2019-02-25 11:27:01,"0010","0006",-93,99,0.107980728149414,0,1551094021
2019-02-25 11:27:01,"0010","0002",-100,99,0.107980728149414,0,1551094021
2019-02-25 11:27:03,"0010","0004",-54,99,0.0980165004730225,0,1551094023
2019-02-25 11:28:49,"0010","0004",-55,107,0.0980353355407715,0,1551094129
2019-02-25 11:28:49,"0010","0005",-98,107,0.0980353355407715,0,1551094129
2019-02-25 11:28:49,"0010","0006",-92,107,0.0980353355407715,0,1551094129
2019-02-25 11:28:49,"0010","0002",-101,107,0.0980353355407715,0,1551094129
2019-02-25 11:28:51,"0010","0004",-55,107,0.102024793624878,0,1551094131
2019-02-25 11:28:51,"0010","0005",-98,107,0.102024793624878,0,1551094131
2019-02-25 11:28:51,"0010","0006",-92,107,0.102024793624878,0,1551094131
2019-02-25 11:28:51,"0010","0002",-101,107,0.102024793624878,0,1551094131
2019-02-25 11:28:53,"0010","0004",-55,107,0.0980381965637207,0,1551094133
2019-02-25 11:28:53,"0010","0005",-98,107,0.0980381965637207,0,1551094133
2019-02-25 11:28:53,"0010","0006",-92,107,0.0980381965637207,0,1551094133
2019-02-25 11:28:53,"0010","0002",-101,107,0.0980381965637207,0,1551094133
2019-02-25 11:28:55,"0010","0004",-55,107,0.100032806396484,0,1551094135
2019-02-25 11:28:55,"0010","0005",-98,107,0.100032806396484,0,1551094135
2019-02-25 11:28:55,"0010","0006",-92,107,0.100032806396484,0,1551094135
2019-02-25 11:28:55,"0010","0002",-101,107,0.100032806396484,0,1551094135
2019-02-25 11:28:57,"0010","0004",-55,107,0.0980451107025146,0,1551094137
2019-02-25 11:28:57,"0010","0005",-98,107,0.0980451107025146,0,1551094137
2019-02-25 11:28:57,"0010","0006",-92,107,0.0980451107025146,0,1551094137
2019-02-25 11:28:57,"0010","0002",-101,107,0.0980451107025146,0,1551094137
2019-02-25 11:28:58,"0010","0004",-55,108,0.0970377922058105,0,1551094138
2019-02-25 11:28:58,"0010","0005",-97,108,0.0970377922058105,0,1551094138
2019-02-25 11:28:58,"0010","0006",-94,108,0.0970377922058105,0,1551094138
2019-02-25 11:28:58,"0010","0002",-101,107,0.0970377922058105,0,1551094138
2019-02-25 11:29:00,"0010","0004",-55,108,0.0999932289123535,0,1551094140
2019-02-25 11:29:00,"0010","0005",-97,108,0.0999932289123535,0,1551094140
2019-02-25 11:29:00,"0010","0006",-94,108,0.0999932289123535,0,1551094140
2019-02-25 11:29:00,"0010","0002",-101,107,0.0999932289123535,0,1551094140
2019-02-25 11:29:02,"0010","0004",-55,108,0.0909957885742188,0,1551094142
2019-02-25 11:29:02,"0010","0005",-97,108,0.0909957885742188,0,1551094142
2019-02-25 11:29:02,"0010","0006",-94,108,0.0909957885742188,0,1551094142
2019-02-25 11:29:02,"0010","0002",-101,107,0.0909957885742188,0,1551094142
2019-02-25 11:29:04,"0010","0004",-55,108,0.0990445613861084,0,1551094144
2019-02-25 11:29:04,"0010","0005",-97,108,0.0990445613861084,0,1551094144
2019-02-25 11:29:04,"0010","0006",-94,108,0.0990445613861084,0,1551094144
2019-02-25 11:29:04,"0010","0002",-101,108,0.0990445613861084,0,1551094144
2019-02-25 11:29:06,"0010","0004",-55,108,0.102081298828125,0,1551094146
2019-02-25 11:29:06,"0010","0005",-97,108,0.102081298828125,0,1551094146
2019-02-25 11:29:06,"0010","0006",-94,108,0.102081298828125,0,1551094146
2019-02-25 11:29:06,"0010","0002",-101,108,0.102081298828125,0,1551094146
2019-02-25 11:29:08,"0010","0004",-55,108,0.109996318817139,0,1551094148
2019-02-25 11:29:08,"0010","0005",-97,108,0.109996318817139,0,1551094148
2019-02-25 11:29:08,"0010","0006",-94,108,0.109996318817139,0,1551094148
2019-02-25 11:29:08,"0010","0002",-101,108,0.109996318817139,0,1551094148
2019-02-25 11:29:46,"0010","0004",-55,108,0.116046905517578,0,1551094186
2019-02-25 11:29:46,"0010","0005",-97,108,0.116046905517578,0,1551094186
2019-02-25 11:29:46,"0010","0006",-93,108,0.116046905517578,0,1551094186
