"mac_local","mac_destino","num_desc","n","proporcion_desc"
"0002","0002",3,91,0.032967032967033
"0002","0004",4,146,0.0273972602739726
"0002","0005",3,139,0.0215827338129496
"0002","0006",4,140,0.0285714285714286
"0004","0002",5,185,0.027027027027027
"0004","0004",4,110,0.0363636363636364
"0004","0005",5,195,0.0256410256410256
"0004","0006",5,191,0.0261780104712042
"0004","0010",1,85,0.0117647058823529
"0004","0014",1,60,0.0166666666666667
"0006","0002",6,270,0.0222222222222222
"0006","0004",6,290,0.0206896551724138
"0006","0005",6,290,0.0206896551724138
"0006","0006",3,46,0.0652173913043478
"0006","0008",1,54,0.0185185185185185
"0006","0010",2,228,0.0087719298245614
"0006","0014",1,43,0.0232558139534884
"0008","0004",1,92,0.0108695652173913
"0008","0005",1,92,0.0108695652173913
"0008","0006",1,87,0.0114942528735632
"0010","0002",10,939,0.0106496272630458
"0010","0004",10,942,0.0106157112526539
"0010","0005",9,825,0.0109090909090909
"0010","0006",8,869,0.00920598388952819
"0010","0008",3,289,0.0103806228373702
"0010","0010",2,61,0.0327868852459016
"0014","0002",6,233,0.0257510729613734
"0014","0004",5,233,0.0214592274678112
"0014","0005",5,232,0.021551724137931
"0014","0006",6,225,0.0266666666666667
"0014","0010",4,178,0.0224719101123595
"0014","0014",4,170,0.0235294117647059
