ini_monit,mac_local,mac_destino,rssi,lqi,latencia,desconexion
Mon Feb 25 11:21:21 2019,10,4,-55,97,0.09404563904,0
Mon Feb 25 11:21:21 2019,10,5,-97,108,0.09404563904,0
Mon Feb 25 11:21:21 2019,10,6,-93,108,0.09404563904,0
Mon Feb 25 11:21:21 2019,10,2,-101,97,0.09404563904,0
Mon Feb 25 11:21:22 2019,10,4,-55,97,0.1030199528,0
Mon Feb 25 11:21:22 2019,10,5,-97,108,0.1030199528,0
Mon Feb 25 11:21:22 2019,10,6,-93,108,0.1030199528,0
Mon Feb 25 11:21:22 2019,10,2,-101,97,0.1030199528,0
Mon Feb 25 11:21:24 2019,10,4,-55,97,0.09803891182,0
Mon Feb 25 11:26:54 2019,10,4,-54,99,0.09401845932,0
Mon Feb 25 11:26:54 2019,10,5,-96,99,0.09401845932,0
Mon Feb 25 11:26:54 2019,10,6,-93,99,0.09401845932,0
Mon Feb 25 11:26:54 2019,10,2,-100,99,0.09401845932,0
Mon Feb 25 11:26:55 2019,10,4,-54,99,0.1020543575,0
Mon Feb 25 11:26:55 2019,10,5,-96,99,0.1020543575,0
Mon Feb 25 11:26:55 2019,10,6,-93,99,0.1020543575,0
Mon Feb 25 11:26:55 2019,10,2,-100,99,0.1020543575,0
Mon Feb 25 11:26:57 2019,10,4,-54,99,0.09806060791,0
Mon Feb 25 11:26:57 2019,10,5,-96,99,0.09806060791,0
Mon Feb 25 11:26:57 2019,10,6,-93,99,0.09806060791,0
Mon Feb 25 11:26:57 2019,10,2,-100,99,0.09806060791,0
Mon Feb 25 11:26:59 2019,10,4,-54,99,0.09899759293,0
Mon Feb 25 11:26:59 2019,10,5,-96,99,0.09899759293,0
Mon Feb 25 11:26:59 2019,10,6,-93,99,0.09899759293,0
Mon Feb 25 11:26:59 2019,10,2,-100,99,0.09899759293,0
Mon Feb 25 11:27:01 2019,10,4,-54,99,0.1079807281,0
Mon Feb 25 11:27:01 2019,10,5,-96,99,0.1079807281,0
Mon Feb 25 11:27:01 2019,10,6,-93,99,0.1079807281,0
Mon Feb 25 11:27:01 2019,10,2,-100,99,0.1079807281,0
Mon Feb 25 11:27:03 2019,10,4,-54,99,0.09801650047,0
Mon Feb 25 11:28:49 2019,10,4,-55,107,0.09803533554,0
Mon Feb 25 11:28:49 2019,10,5,-98,107,0.09803533554,0
Mon Feb 25 11:28:49 2019,10,6,-92,107,0.09803533554,0
Mon Feb 25 11:28:49 2019,10,2,-101,107,0.09803533554,0
Mon Feb 25 11:28:51 2019,10,4,-55,107,0.1020247936,0
Mon Feb 25 11:28:51 2019,10,5,-98,107,0.1020247936,0
Mon Feb 25 11:28:51 2019,10,6,-92,107,0.1020247936,0
Mon Feb 25 11:28:51 2019,10,2,-101,107,0.1020247936,0
Mon Feb 25 11:28:53 2019,10,4,-55,107,0.09803819656,0
Mon Feb 25 11:28:53 2019,10,5,-98,107,0.09803819656,0
Mon Feb 25 11:28:53 2019,10,6,-92,107,0.09803819656,0
Mon Feb 25 11:28:53 2019,10,2,-101,107,0.09803819656,0
Mon Feb 25 11:28:55 2019,10,4,-55,107,0.1000328064,0
Mon Feb 25 11:28:55 2019,10,5,-98,107,0.1000328064,0
Mon Feb 25 11:28:55 2019,10,6,-92,107,0.1000328064,0
Mon Feb 25 11:28:55 2019,10,2,-101,107,0.1000328064,0
Mon Feb 25 11:28:57 2019,10,4,-55,107,0.0980451107,0
Mon Feb 25 11:28:57 2019,10,5,-98,107,0.0980451107,0
Mon Feb 25 11:28:57 2019,10,6,-92,107,0.0980451107,0
Mon Feb 25 11:28:57 2019,10,2,-101,107,0.0980451107,0
Mon Feb 25 11:28:58 2019,10,4,-55,108,0.09703779221,0
Mon Feb 25 11:28:58 2019,10,5,-97,108,0.09703779221,0
Mon Feb 25 11:28:58 2019,10,6,-94,108,0.09703779221,0
Mon Feb 25 11:28:58 2019,10,2,-101,107,0.09703779221,0
Mon Feb 25 11:29:00 2019,10,4,-55,108,0.09999322891,0
Mon Feb 25 11:29:00 2019,10,5,-97,108,0.09999322891,0
Mon Feb 25 11:29:00 2019,10,6,-94,108,0.09999322891,0
Mon Feb 25 11:29:00 2019,10,2,-101,107,0.09999322891,0
Mon Feb 25 11:29:02 2019,10,4,-55,108,0.09099578857,0
Mon Feb 25 11:29:02 2019,10,5,-97,108,0.09099578857,0
Mon Feb 25 11:29:02 2019,10,6,-94,108,0.09099578857,0
Mon Feb 25 11:29:02 2019,10,2,-101,107,0.09099578857,0
Mon Feb 25 11:29:04 2019,10,4,-55,108,0.09904456139,0
Mon Feb 25 11:29:04 2019,10,5,-97,108,0.09904456139,0
Mon Feb 25 11:29:04 2019,10,6,-94,108,0.09904456139,0
Mon Feb 25 11:29:04 2019,10,2,-101,108,0.09904456139,0
Mon Feb 25 11:29:06 2019,10,4,-55,108,0.1020812988,0
Mon Feb 25 11:29:06 2019,10,5,-97,108,0.1020812988,0
Mon Feb 25 11:29:06 2019,10,6,-94,108,0.1020812988,0
Mon Feb 25 11:29:06 2019,10,2,-101,108,0.1020812988,0
Mon Feb 25 11:29:08 2019,10,4,-55,108,0.1099963188,0
Mon Feb 25 11:29:08 2019,10,5,-97,108,0.1099963188,0
Mon Feb 25 11:29:08 2019,10,6,-94,108,0.1099963188,0
Mon Feb 25 11:29:08 2019,10,2,-101,108,0.1099963188,0
Mon Feb 25 11:29:46 2019,10,4,-55,108,0.1160469055,0
Mon Feb 25 11:29:46 2019,10,5,-97,108,0.1160469055,0
Mon Feb 25 11:29:46 2019,10,6,-93,108,0.1160469055,0
Mon Feb 25 11:29:46 2019,10,2,-101,81,0.1160469055,0
Mon Feb 25 11:29:48 2019,10,4,-55,108,0.1020009518,0
Mon Feb 25 11:29:48 2019,10,5,-97,108,0.1020009518,0
Mon Feb 25 11:29:48 2019,10,6,-93,108,0.1020009518,0
Mon Feb 25 11:29:48 2019,10,2,-101,81,0.1020009518,0
Mon Feb 25 11:29:50 2019,10,4,-55,108,0.09802317619,0
Mon Feb 25 11:29:50 2019,10,5,-97,108,0.09802317619,0
Mon Feb 25 11:29:50 2019,10,6,-93,108,0.09802317619,0
Mon Feb 25 11:29:50 2019,10,2,-100,108,0.09802317619,0
Mon Feb 25 11:29:51 2019,10,4,-55,108,0.09404373169,0
